batch	group
b1_g1_s1	batch_1	group_1
b1_g1_s2	batch_1	group_1
b1_g1_s3	batch_1	group_1
b1_g1_s4	batch_1	group_1
b1_g1_s5	batch_1	group_1
b1_g1_s6	batch_1	group_1
b1_g1_s7	batch_1	group_1
b1_g1_s8	batch_1	group_1
b1_g1_s9	batch_1	group_1
b1_g1_s10	batch_1	group_1
b1_g1_s11	batch_1	group_1
b1_g1_s12	batch_1	group_1
b1_g1_s13	batch_1	group_1
b1_g1_s14	batch_1	group_1
b1_g1_s15	batch_1	group_1
b1_g1_s16	batch_1	group_1
b1_g1_s17	batch_1	group_1
b1_g1_s18	batch_1	group_1
b1_g1_s19	batch_1	group_1
b1_g1_s20	batch_1	group_1
b1_g1_s21	batch_1	group_1
b1_g1_s22	batch_1	group_1
b1_g1_s23	batch_1	group_1
b1_g1_s24	batch_1	group_1
b1_g1_s25	batch_1	group_1
b1_g1_s26	batch_1	group_1
b1_g1_s27	batch_1	group_1
b1_g1_s28	batch_1	group_1
b1_g1_s29	batch_1	group_1
b1_g1_s30	batch_1	group_1
b1_g1_s31	batch_1	group_1
b1_g1_s32	batch_1	group_1
b1_g1_s33	batch_1	group_1
b1_g1_s34	batch_1	group_1
b1_g1_s35	batch_1	group_1
b1_g1_s36	batch_1	group_1
b1_g1_s37	batch_1	group_1
b1_g1_s38	batch_1	group_1
b1_g1_s39	batch_1	group_1
b1_g1_s40	batch_1	group_1
b1_g1_s41	batch_1	group_1
b1_g1_s42	batch_1	group_1
b1_g1_s43	batch_1	group_1
b1_g1_s44	batch_1	group_1
b1_g1_s45	batch_1	group_1
b1_g1_s46	batch_1	group_1
b1_g1_s47	batch_1	group_1
b1_g1_s48	batch_1	group_1
b1_g1_s49	batch_1	group_1
b1_g1_s50	batch_1	group_1
b1_g1_s51	batch_1	group_1
b1_g1_s52	batch_1	group_1
b1_g1_s53	batch_1	group_1
b1_g1_s54	batch_1	group_1
b1_g1_s55	batch_1	group_1
b1_g1_s56	batch_1	group_1
b1_g1_s57	batch_1	group_1
b1_g1_s58	batch_1	group_1
b1_g1_s59	batch_1	group_1
b1_g1_s60	batch_1	group_1
b1_g1_s61	batch_1	group_1
b1_g1_s62	batch_1	group_1
b1_g1_s63	batch_1	group_1
b1_g1_s64	batch_1	group_1
b1_g1_s65	batch_1	group_1
b1_g1_s66	batch_1	group_1
b1_g1_s67	batch_1	group_1
b1_g1_s68	batch_1	group_1
b1_g1_s69	batch_1	group_1
